xs_id,distance_along_centerline_m,num_valid_points,elevation_range_m,max_slope_deg,distortion_risk
XS_0000,0.0,100,5.481999999999971,43.39385949640686,low
XS_0001,25.0,100,5.425000000000068,38.448872338292446,low
XS_0002,50.0,100,5.794999999999959,50.644510723065856,low
XS_0003,75.0,100,5.640999999999963,51.97410595294835,low
XS_0004,100.0,100,4.100000000000136,53.531956320111064,low
XS_0005,125.0,100,4.280000000000086,54.70094419476199,low
XS_0006,150.0,100,12.860000000000014,75.7134234407637,low
XS_0007,175.0,100,12.279999999999973,71.5822244545043,low
XS_0008,200.0,100,9.540000000000077,71.5822244545043,low
XS_0009,225.0,100,9.603155908154577,71.58222445450663,low
XS_0010,250.0,100,9.337000000000103,71.68920076590308,low
XS_0011,275.0,100,13.302000000000135,77.16657061827381,low
XS_0012,300.0,100,13.95000000000016,77.74426912575967,low
XS_0013,325.0,100,14.59800000000007,78.27289579171305,low
XS_0014,350.0,100,15.404999999999973,78.87148665627154,low
XS_0015,375.0,100,43.39999999999998,84.73753574619208,low
XS_0016,400.0,100,43.39999999999998,85.13180349365298,low
XS_0017,425.0,100,51.32290632486934,85.84751008199969,low
XS_0018,450.0,100,43.136047661642806,84.73753574619208,low
XS_0019,475.0,100,39.15287211729469,84.98568529313314,low
XS_0020,500.0,100,25.875,77.7867234535536,low
XS_0021,525.0,100,28.204999999999927,79.30167767949928,low
XS_0022,550.0,100,28.287981462829634,82.1556077889143,low
XS_0023,575.0,100,28.288731545180553,81.79083423704337,low
XS_0024,600.0,100,25.62799999999993,82.05032266606824,low
XS_0025,625.0,100,19.93600000000015,81.35711025326376,low
XS_0026,650.0,100,38.48771631894442,81.42672770880748,low
XS_0027,675.0,100,81.73598807585097,86.80245085959601,low
XS_0028,700.0,100,61.06072624720605,85.57157752546529,low
XS_0029,725.0,100,40.704000000000065,85.66919602829942,low
XS_0030,750.0,100,45.56100000000015,85.80972615326726,low
XS_0031,775.0,100,47.414999999999964,85.90039554149888,low
XS_0032,800.0,100,49.23000000000002,86.4149004858773,low
XS_0033,825.0,100,10.48800000000017,73.88438156725397,low
XS_0034,850.0,100,30.57199999999989,82.9491331416537,low
XS_0035,875.0,100,39.11555776362752,85.4061364473809,low
XS_0036,900.0,100,39.248772590143744,85.32251842669272,low
XS_0037,925.0,100,59.27099999999996,86.81408137803047,low
XS_0038,950.0,100,53.92265198862128,86.41001439508905,low
XS_0039,975.0,100,35.35764647041856,85.05501820633538,low
XS_0040,1000.0,100,13.412022841686166,77.13085212795434,low
XS_0041,1025.0,100,13.039999999999964,76.65070567067323,low
XS_0042,1050.0,100,12.624000000000024,75.98462219959762,low
XS_0043,1075.0,100,12.42599999999993,75.36687394731435,low
XS_0044,1100.0,100,0.8650000000000091,15.93139529465821,low
XS_0045,1125.0,100,4.2000000000000455,49.113957641296,low
XS_0046,1150.0,100,16.170000000000073,72.81762793277846,low
XS_0047,1175.0,100,9.799999999999955,72.81762793277876,low
XS_0048,1200.0,100,10.723999999999933,74.2211892482058,low
XS_0049,1225.0,100,11.101999999999862,74.73294585072777,low
XS_0050,1250.0,100,12.522360586545346,74.08262767833214,low
XS_0051,1275.0,100,12.55399999999986,74.95522975059843,low
XS_0052,1300.0,100,22.121394684044844,80.54695996809014,low
XS_0053,1325.0,100,23.205087721803693,82.03481102470276,low
XS_0054,1350.0,100,18.930571996402705,77.63867289349012,low
XS_0055,1375.0,100,19.74934359261306,76.09302170901191,low
XS_0056,1400.0,100,25.980000000000018,73.31789585173733,low
XS_0057,1425.0,100,25.769999999999982,73.23019855293359,low
XS_0058,1450.0,100,18.328000000000202,77.24906756135385,low
XS_0059,1475.0,100,27.50108131994648,76.37581264993251,low
XS_0060,1500.0,100,56.700000000000045,84.11521700644992,low
XS_0061,1525.0,100,56.700000000000045,85.80355922239288,low
XS_0062,1550.0,100,56.700000000000045,85.80355922238762,low
XS_0063,1575.0,100,56.9853803372489,85.80355922238753,low
